"8","5431 Bischoff Ave, Saint Louis, MO, ","Match","Exact","5431 BISCHOFF AVE, SAINT LOUIS, MO, 63110","-90.278581170858,38.61524713939","624223328","R"
"9","5432 Bischoff Ave, Saint Louis, MO, ","Match","Exact","5432 BISCHOFF AVE, SAINT LOUIS, MO, 63110","-90.278888061405,38.615164063833","624223328","L"
"20","5817 Columbia Ave, Saint Louis, MO, ","Match","Exact","5817 COLUMBIA AVE, SAINT LOUIS, MO, 63139","-90.285252817448,38.612031484087","605123558","R"
"21","5907 Columbia Ave, Saint Louis, MO, ","Match","Exact","5907 COLUMBIA AVE, SAINT LOUIS, MO, 63139","-90.286525983564,38.612149798488","107594465","R"
"22","5113 Daggett Ave, Saint Louis, MO, ","Match","Exact","5113 DAGGETT AVE, SAINT LOUIS, MO, 63110","-90.271005981926,38.616671462899","107594719","R"
"23","5115 Daggett Ave, Saint Louis, MO, ","Match","Exact","5115 DAGGETT AVE, SAINT LOUIS, MO, 63110","-90.271041438947,38.616675683976","107594719","R"
"24","5128 Daggett Ave, Saint Louis, MO, ","Match","Exact","5128 DAGGETT AVE, SAINT LOUIS, MO, 63110","-90.271310849205,38.616588893902","107594719","L"
"25","5213 Daggett Ave, Saint Louis, MO, ","Match","Exact","5213 DAGGETT AVE, SAINT LOUIS, MO, 63110","-90.272934529629,38.616878017853","107594713","R"
"26","5227 Daggett Ave, Saint Louis, MO, ","Match","Exact","5227 DAGGETT AVE, SAINT LOUIS, MO, 63110","-90.273231648366,38.616907186671","107594713","R"
"27","5231 Daggett Ave, Saint Louis, MO, ","Match","Exact","5231 DAGGETT AVE, SAINT LOUIS, MO, 63110","-90.273316407402,38.616915301903","107594713","R"
"28","5235 Daggett Ave, Saint Louis, MO, ","Match","Exact","5235 DAGGETT AVE, SAINT LOUIS, MO, 63110","-90.273401166438,38.616923417135","107594713","R"
"29","5520 Dugan Ave, Saint Louis, MO, ","Match","Exact","5520 DUGAN AVE, SAINT LOUIS, MO, 63110","-90.281617958491,38.613333562229","605121267","L"
"30","2017 Edwards St, Saint Louis, MO, ","Match","Exact","2017 EDWARDS ST, SAINT LOUIS, MO, 63110","-90.275032062931,38.61642510196","605122255","R"
